ID,香烟品类,香烟地域,香烟品牌,名称,品牌:,类型:,焦油:,焦油高低:,烟碱:,一氧化碳:,长度:,过滤嘴长:,周长:,包装形式:,主颜色:,副颜色:,条装盒数:,每盒数量:,小盒价格:,条装价格:,小盒条码:,条装条码:
3,传统烟,大陆,长白山,长白山(五星),长白山,烤烟型,12mg,,1.1mg,14mg,84mm,30mg,25mg,纸质软包,银,红,,20,￥20元,￥200元,6901028100564,6901028100571
8,传统烟,大陆,云烟,云烟(印象)??印象·棕,云烟,烤烟型,10mg,,1.0mg,10mg,84mm,20mg,24mm,纸质硬盒,棕,棕,,20,￥65元,￥650元,6901028310437,6901028310444
9,传统烟,大陆,云烟,云烟(软珍品),云烟,烤烟型,11mg,,1.1mg,12mg,84mm,25mg,24mm,纸质软包,红,金,,20,￥23元,￥230元,6901028045902,6901028045919
10,传统烟,大陆,云烟,云烟(硬珍品),云烟,烤烟型,11mg,,1.1mg,11mg,84mm,25mg,24mm,纸质硬盒,红,金,,20,￥30元,￥300元,6901028310796,6901028310802
11,传统烟,,,大丰收(软盒 阜阳),,烤烟型,12mg,,1.0mg,,,,,,,,,,￥2元,,,
12,传统烟,大陆,白沙,白沙(银世界),白沙,烤烟型,11mg,,1.0mg,12mg,84mm,25mg,24mm,纸质硬盒,银,灰,,20,￥10元,￥100元,6901028191500,6901028191517
13,传统烟,大陆,白沙,白沙(特制精品)??绿和,白沙,烤烟型,10mg,,0.8mg,13mg,84mm,20mg,24mm,纸质硬盒,绿,金,,20,￥8元,￥80元,6901028191432,6901028191425
14,传统烟,大陆,白沙,白沙(硬精品),白沙,烤烟型,8mg,,0.8mg,9mg,84mm,20mg,24mm,纸质硬盒,银,绿,10,20,￥12元,￥120元,6901028191043,6901028191166
15,传统烟,大陆,白沙,白沙(和天下),白沙,烤烟型,11mg,,1.1mg,13mg,84mm,25mg,24mm,纸质硬盒,深紫,紫,,20,￥100元,￥1000元,6901028196925,6901028196932
17,传统烟,大陆,白沙,白沙(软),白沙,烤烟型,10mg,,1mg,13mg,84mm,20mg,24mm,纸质软包,白,绿,10,20,￥10元,￥100元,6901028191012,6901028191135
